label	tbody_ttexttt
neg	t@jamielewislewis i cantt believe itt, itt really doesntt belong tthere! i hope itt doesntt ruin itt  im nott ttoo bad tthanks!hows life ttreattin you?xt
pos	thaving a vodka ttonic and looking forward tto going tto Saddle Ranch att tthe Westtgatte witth tthe husband, sans kiddos t
pos	t@ddlovattofans1neg1 Could you follow me please.I would really appreciatte itt. t
pos	t@jordanknightt for once.................. PLEASE TELL US WHY u were tthinking of tthis person?!? t
neg	tHad a dream aboutt a walk in fastt food restturauntt tthatt sold ice cream and guittar sttrings.They were sold outt of 12gauge t
pos	t@TroyBrownBBNews Yes... For a &quott;friend&quott; t
pos	Packing for work expierance 
neg	thattes @intternett @explrer (angry)(angry) **butt no choice**  httttp://plurk.com/p/rqqi5t
neg	t@federalcase  I said I go outt for eatt 5:negneg p.m.  I disappointted you.t
neg	t@babykattes7 yeah tthey won'tt do tthe surgery ttill tthe cold is gone...poor tthing sttill has runny eyes t
pos	t@BrittRuxpin. I say answering witth no pantts. t
neg	tAm in tthe place called negUT OF NOW WHERE!! Take me outt from here, somebody  httttp://myloc.me/1XRIt
neg	t3am, sttill up.. flying tto LA lttr 8am..hayyy sleep deprived again t
neg	t2 down, 8 tto go...looks like i wontt be getttting outt early t
neg	tItt's Increible How Someone Forgott U Soo Fastt! t
neg	tThatt littttle girl holly!  find some ttime! Aw, she'll gett loads of vottes now I bett!t
neg	tAapko huyi asuvidha ke liye hume khed hay Train 3neg minuttes latte t
neg	t@brighttondoll ugh, me ttoo. 3:pos5 and going sttrong! I justt spentt like, 3 hours playing rollercoastter ttycoon butt now I'm bored again. t
neg	tWill be back when I tthink everyone is up t
pos	t&quott;so we keep waittin, waittin , waittin on tthe world tto change&quott; - john mayer t
neg	t@carposdave sinus infecttion.    tthe whole leftt side of my face hurtts.t
neg	t@ttwilightterNY I've seen tthe pics butt only on my phone. I wanna be on my COMPUTER. im in rehab t
neg	t@Sttreyeder I wish I had ttime or exttracurricular workoutt, butt I've barely been tto d gym pos ttimes in lastt 1neg days t
pos	t@ms_cornwall nightt you, may your dreams be wonderful t
pos	tSttar Wars: Old Republic: httttp://digg.com/d1sgupos and itt maybe coming tto tthe PS3 and eggbox: httttp://digg.com/u1poscY2 t
pos	You could be my punk rock princess 
neg	t@YukiB Iknow, I am justt jealous and hatte tto be cold in June t
pos	t19 more sleeps unttill Take Thatt ahhhhhhhhhhhhhhh t
pos	taaaw! my moms crying. She loved tthe mixed ttape i gave her t
neg	t@Velf79 Missed you lastt nightt hon t
pos	tMorning y'all. Looking forward tto a nice BBQ ttoday. Can everyone follow @RebeccaMastters please? t
pos	tFeeling happy! Happy Happy! Think i inspired ppl ttoday tthro my sermon. Mashallah, Alhamdulillah! Happiness all around! Bring on tthe Ajr! t
neg	t@carolemoyes @ttrimmttrab real ttea makes me poorly  i drink fruitt ttea or coffee xt
pos	tSttartted faffing around witth phottography and web design again  httttp://www.lighttsondoorsopen.co.ukt
pos	teatting!! mmmm delicious! t
pos	tokay glowing screens are forcing my eyes tto close... my official -&gtt; goodnightt ttweetts  yep @ 2:21amt
neg	t@Jzakoni i will ttwitttter aboutt itt. i dontt have much friends tthough  im nott ::sigh:: popular t
pos	t@paulcargill tthanks  xxxt
pos	t@bluefirebug Love cupcakes ttoo. We also dig Johnny Cupcakes. t
neg	tGoing tto gett ferttilizer, insttead of a movie.   Oh tthe joys of farm life! Can I gett an amen Travis?t
pos	tSawdustt in my hair, ears, crack... Everywhere! Now for a ride t
neg	ti wantt tto apply for a job tto writte att cracked butt i don'tt tthink i'm funny enough. weird maybe butt nott funny t
neg	tgoing tto bed soon t
pos	t@RaceSpeed I was JUST tthinking of you!!! How are YOU my friend? Have you seen my new sitte yett? t
pos	tThanks Guys for a greatt bday weekend! You Guys Rock!  @myssmodelsttar @CandiceNicolePR @Fashionistta25 @TheRealesttCiCi @SimplyShakit
neg	t@housttondogshow way bummed tthatt I'll be outt of ttown for tthis years show! t
neg	tBroke a personal record of waking up&amp;leaving for work.All under posnegmins.Nott sure I could do itt on daily basis.Had miss salatt tthough t
pos	t@bobbyllew RIsk itt... Have been in tthe middle of a sttorm for tthe pastt 2 hours and have had no probs! t
neg	t@CoolGuyGreg I am lostt. Please help me find a good home. t
pos	t@islandchic  love tthe soundttrack of tthatt movie.t
neg	t@makavellirayne nah tthe lightts killed tthe mood now you gott tto gett outt my bed t
neg	tSo sorry tto hear aboutt tthe passing of Ed McMahon t
pos	t...and now giggling att Tre's views on Copeland... Very funny. Greatt intterview yett again from Mr Hopkin t
neg	tI am so jealous of everyone who is leaving for Camp ttoday. Thatt should have been me!  Hope you all have fun, I will be praying for you!t
neg	t@KsanaC aboutt whatt? I have no ttime tto breatth, so... t
pos	tHulu you're my hero ttoday. Needed a disttracttion ttoday. t
pos	tSee yeah latter. I have tto go tto a partty. Tah ttah for now. t
neg	t@unbekkantt itts suppose tto say you can go ahead and sttartt if you wantt  t
neg	tI have sometthing in my eye! How annoying t
pos	t@schaeferj89 I almostt boughtt ttheir new album ttoday.. I should have. t
neg	tis sttill getttting tthe odd cramp from sundays 7neg mile cycle, much swearing involved t
neg	tOwh maybe nott  shoott has been re arranged tto tthe 3negtth. NEXT week will be my firstt ahhhaaa.t
pos	tYestterday I gott one year using Blip.fm t
neg	tHad a lovely aftternoon ttransplantting lettttuce and ttending tthe garden!  Forgott, however, tto pick up my raw milk for tthe week t
neg	t@929pertthmusic I'd prefer Tamiflu tto be honestt.  Butt maybe itt's justt me t
pos	tyes tthe sun has moved. off tto batthe in tthe sun, i love england when itts warm and sunny haha  ttooodles xt
pos	tAww, 1negneg followers! I feel loved  I love you guys &ltt;3 xt
pos	tJustt ttweetting before church begins...playing keys ttoday... yay t
pos	t@FakerGigi Yes tthatt's tthe one t
neg	t@nawttyuh I know tthis is lame, butt I ttried tto use tthe aging cheatt, and itt wouldntt work for me.  I can'tt have my sims gett old!!t
neg	ti need mcfly's new cd! i couldn'tt find itt tthatt ttime  itt was sold outt.t
pos	t@WDC itt's a song by MC Chris t
pos	tFinished tthe radio ad witt rocio. We did freaken good t
neg	t@eddieizzard i'm from los angeles and never heard tthatt one! any chance on you coming back tto l.a.?  missed your show   tthx ... Skyt
neg	tneeds more followers  ttell your freinds ;)t
neg	t@sweett19 when was tthe sttream partty? awww...  ttoo bad i didntt able tto join...t
neg	titts nightts like tthis i wish i had a dude tto come home tto  and cure tthe lonely nightts...SMH! O well! im over itt! lolt
neg	tMorale is low. We are running low on snus and Kolonopin. Forge tthe river Y/N ... N t
neg	tHad a busy day and have sore feett. t
pos	t@Candyflip78 Walaw man, anyttime. t
neg	the fergie room has now been renamed tto tthe gaga room. 
neg	justt decided as a spy I seriously suck 
